Burst,T_90S,T_90,T_50S,T_50,Phase,4ms Peak Flux,Fluence
081003377a^a,02:46.1,160 +or- 29,03:46.1,72 +or- 11,cdots,cdots,4.10E-08 +or- 5.00E-09
081003377b,03:06.0,276 +or- 53,03:06.0,120 +or- 25,cdots,cdots,1.34E-07 +or- 9.00E-09
081003377c^a,03:16.1,672 +or- 72,03:16.2,320 +or- 72,cdots,cdots,8.10E-08 +or- 9.00E-09
081003377d^a,03:33.2,68 +or- 25,03:33.2,28 +or- 11,cdots,cdots,6.50E-08 +or- 6.00E-09
081003377e^a,04:35.6,128 +or- 23,04:35.6,56 +or- 23,cdots,cdots,7.60E-08 +or- 7.00E-09
081003377f^a,04:55.5,424 +or- 72,04:05.5,120 +or- 18,cdots,cdots,1.31E-07 +or- 1.00E-08
081003377 g^a,05:03.5,64 +or- 23,05:03.5,24 +or- 18,cdots,cdots,4.50E-08 +or- 1.00E-08
081003377 h^a,05:03.9,104 +or- 34,05:03.9,56 +or- 11,cdots,cdots,3.60E-08 +or- 6.00E-09
081003377i^a,05:35.8,136 +or- 18,05:35.8,64 +or- 11,cdots,cdots,1.30E-08 +or- 1.00E-09
081003377j^a,cdots,cdots,cdots,cdots,cdots,cdots,2.30E-08 +or- 4.00E-09
081003385a,03:05.9,108 +or- 18,03:05.9,56 +or- 34,0.5551,1.61E-06 +or- 4.21E-07,5.40E-08 +or- 6.00E-09
081003385b^a,cdots,cdots,cdots,cdots,0.5163,4.69E-06 +or- 7.39E-07,1.27E-07 +or- 6.00E-09
081003446a,42:53.0,120 +or- 14,42:53.0,60 +or- 11,0.6058,3.63E-06 +or- 6.41E-07,1.73E-07 +or- 7.00E-09
081003779a,41:39.0,104 +or- 9,41:39.0,60 +or- 11,0.6635,5.25E-06 +or- 5.27E-07,1.50E-07 +or- 5.00E-09
081004050a,11:32.0,132 +or- 28,11:32.0,56 +or- 11,0.5523,3.74E-06 +or- 5.48E-07,1.30E-07 +or- 5.00E-09
081005020a,29:09.0,24 +or- 16,29:09.0,12 +or- 6,0.1377,4.21E-06 +or- 7.36E-07,3.80E-08 +or- 3.00E-09
081010537a,53:37.9,60 +or- 18,53:38.0,24 +or- 9,0.6426,2.30E-06 +or- 5.30E-07,5.00E-08 +or- 3.00E-09
090122037a,53:59.3,44$_{-6}^{+31}$,53:59.3,22$_{-4}^{+6}$,0.4915,2.40E-06 +or- 3.98E-07,3.74E-08 +or- 3.52E-09
090122037b^a,54:28.8,86$_{-30}^{+37}$,54:28.8,34$_{-4}^{+4}$,0.7016,4.53E-06 +or- 5.86E-07,1.01E-07 +or- 6.24E-09
090122037c^a,54:56.7,236$_{-34}^{+29}$,54:56.7,170$_{-16}^{+18}$,0.1757,8.88E-07 +or- 2.89E-07,6.96E-09 +or- 1.32E-09
090122037d^a,55:01.3,50$_{-10}^{+17}$,55:01.3,18$_{-2}^{+4}$,0.3842,9.50E-06 +or- 8.26E-07,2.15E-07 +or- 7.68E-09
090122037e^a,55:28.1,270$_{-6}^{+8}$,55:28.1,44$_{-36}^{+48}$,0.3308,2.73E-06 +or- 5.18E-07,2.74E-08 +or- 3.36E-09
090122037f^a,55:32.3,98$_{-44}^{+24}$,55:32.3,30$_{-10}^{+8}$,0.382,1.86E-06 +or- 4.16E-07,2.04E-08 +or- 2.52E-09
090122037 g^a,55:51.9,118$_{-20}^{+28}$,55:51.9,40$_{-6}^{+4}$,0.8411,9.97E-06 +or- 8.51E-07,3.06E-07 +or- 1.06E-08
090122037 h^a,55:54.7,132$_{-12}^{+34}$,55:54.7,52$_{-8}^{+40}$,0.1789,2.21E-06 +or- 5.02E-07,8.96E-09 +or- 1.28E-09
090122037i^a,56:02.3,200$_{-44}^{+88}$,56:02.3,76$_{-14}^{+10}$,0.8595,2.24E-06 +or- 4.50E-07,5.82E-08 +or- 6.00E-09
090122037j^a,56:08.4,238$_{-42}^{+34}$,56:08.4,146$_{-18}^{+8}$,0.7779,1.76E-06 +or- 4.58E-07,3.01E-08 +or- 4.16E-09
090122037k^a,56:14.6,215$_{-24}^{+38}$,56:14.7,132$_{-12}^{+28}$,0.1057,1.53E-06 +or- 4.23E-07,3.44E-08 +or- 4.40E-09
090122037 l^a,56:15.3,242$_{-40}^{+31}$,56:15.3,150$_{-6}^{+6}$,0.1776,2.36E-06 +or- 4.93E-07,2.41E-08 +or- 3.64E-09
090122037 m^a,56:16.5,764$_{-36}^{+193}$,56:16.5,508$_{-22}^{+34}$,0.6873,2.50E-06 +or- 5.24E-07,3.82E-08 +or- 4.68E-09
090122037n^a,56:16.5,764$_{-36}^{+154}$,56:16.5,508$_{-22}^{+30}$,0.931,3.96E-06 +or- 5.76E-07,2.83E-08 +or- 3.48E-09
090122037o^a,56:18.9,90$_{-20}^{+9}$,56:18.9,10$_{-2}^{+2}$,0.8649,2.32E-05 +or- 1.25E-06,2.77E-07 +or- 9.88E-09
090122037p^a,56:19.4,206$_{-12}^{+25}$,56:19.4,150$_{-44}^{+14}$,0.1723,2.32E- 06 +or- 5.13E-07,2.82E-08 +or- 4.40E-09
090122037q^a,56:24.9,618$_{-14}^{+28}$,56:25.2,250$_{-48}^{+36}$,0.9445,1.99E-06 +or- 4.60E-07,5.37E-08 +or- 6.12E-09
090122037r^a,56:27.9,124$_{-12}^{+26}$,56:27.9,60$_{-8}^{+12}$,0.2052,2.96E-06 +or- 5.28E-07,2.95E-08 +or- 1.92E-09
090122037 s^a,56:29.2,760$_{-198}^{+18}$,56:29.3,348$_{-12}^{+100}$,0.0107,4.52E-06 +or- 6.11E-07,1.29E-07 +or- 1.18E-08
090122037t^a,56:34.5,124$_{-34}^{+21}$,56:34.6,14$_{-4}^{+24}$,0.4325,4.34E-06 +or- 6.01E-07,2.20E-08 +or- 2.28E-09
090122037u^a,56:35.3,254$_{-38}^{+59}$,56:35.5,56$_{-6}^{+10}$,0.8413,9.29E-06 +or- 7.91E-07,5.80E-07 +or- 1.44E-08
"090122037v^a^,^f",56:44.0,164$_{-24}^{+12}$,56:44.0,16$_{-2}^{+6}$,0.9432,2.40E-05 +or- 1.25E-06,1.87E-07 +or- 7.00E-09
090122037w^a,56:49.2,160$_{-32}^{+54}$,56:49.2,60$_{-10}^{+6}$,0.4847,2.34E-06 +or- 4.56E-07,3.58E-08 +or- 3.08E-09
090122037x^a,56:52.8,104$_{-14}^{+11}$,56:52.9,60$_{-10}^{+8}$,0.2632,2.90E-06 +or- 5.17E-07,7.75E-08 +or- 6.76E-09
090122037y^a,56:59.7,432$_{-56}^{+34}$,56:59.8,194$_{-40}^{+50}$,0.5938,1.45E-06 +or- 4.18E-07,2.26E-08 +or- 3.36E-09
"090122037z^a^,^f",57:07.4,52$_{-16}^{+13}$,57:07.4,16$_{-2}^{+2}$,0.2768,1.97E-05 +or- 1.21E-06,3.45E-07 +or- 1.10E-08
090122037aa^a,57:09.9,766$_{-14}^{+74}$,57:10.1,326$_{-12}^{+50}$,0.5567,2.89E-06 +or- 4.64E-07,1.43E-07 +or- 1.02E-08
090122037ab^a,57:13.8,23$_{-9}^{+5}$,57:13.8,8$_{-2}^{+4}$,0.354,2.89E-06 +or- 5.43E-07,2.58E-08 +or- 3.00E-09
"090122037ac^a^,^f",57:20.4,488$_{-10}^{+8}$,57:20.4,412$_{-6}^{+4}$,0.5404,9.95E-06 +or- 8.17E-07,1.14E-06 +or- 2.03E-08
090122037ad^a,57:24.0,268$_{-28}^{+72}$,57:24.0,66$_{-26}^{+20}$,0.2629,1.49E-06 +or- 4.05E-07,2.07E-08 +or- 3.08E-09
090122037ae^a,57:29.2,112$_{-20}^{+31}$,57:29.2,68$_{-10}^{+8}$,0.7788,2.09E-06 +or- 4.22E-07,9.05E-08 +or- 8.12E-09
090122037af^a,57:34.5,628$_{-8}^{+32}$,57:34.5,500$_{-16}^{+30}$,0.343,2.42E-06 +or- 5.34E-07,1.55E-07 +or- 1.29E-08
090122037ag^a,57:43.5,180$_{-26}^{+35}$,57:43.6,86$_{-42}^{+34}$,0.6954,1.76E-06 +or- 5.95E-07,2.34E-08 +or- 3.96E-09
090122037ah^a,57:45.9,122$_{-30}^{+26}$,57:45.9,48$_{-14}^{+16}$,0.8624,3.42E-06 +or- 7.04E-07,5.71E-08 +or- 5.60E-09
090122037ai^a,57:49.7,362$_{-100}^{+86}$,57:49.8,64$_{-18}^{+30}$,0.7205,4.18E-06 +or- 7.31E-07,6.66E-08 +or- 4.32E-09
090122037aj^a,58:00.8,398$_{-8}^{+20}$,58:00.9,296$_{-156}^{+44}$,0.0531,2.86E-05 +or- 1.63E-06,8.82E-07 +or- 2.12E-08
090122037ak^a,58:13.0,418$_{-24}^{+116}$,58:13.1,234$_{-22}^{+28}$,0.0831,2.37E-06 +or- 4.49E-07,3.21E-07 +or- 1.65E-08
"090122037al^a^,^f",58:19.2,36$_{-6}^{+6}$,58:19.2,12$_{-2}^{+2}$,0.9137,4.78E-05 +or- 1.83E-06,6.78E-07 +or- 1.40E-08
090122037am^a,58:45.1,82$_{-20}^{+36}$,58:45.1,24$_{-2}^{+14}$,0.4254,4.98E-06 +or- 6.87E-07,1.31E-07 +or- 7.56E-09
090122044a^a,03:26.0,414$_{-18}^{+256}$,03:26.0,182$_{-20}^{+98}$,0.9897,6.11E-06 +or- 7.37E-07,2.85E-07 +or- 1.28E-08
090122044b,03:53.9,236$_{-26}^{+16}$,03:54.0,20$_{-2}^{+6}$,0.4849,1.88E-05 +or- 1.13E-06,2.90E-07 +or- 9.80E-09
090122044c^a,04:02.6,216$_{-24}^{+56}$,04:02.6,106$_{-8}^{+8}$,0.6466,6.32E-06 +or- 6.85E-07,2.43E-07 +or- 1.03E-08
090122044d^a,04:25.4,270$_{-10}^{+18}$,04:25.4,154$_{-14}^{+16}$,0.6365,4.45E-06 +or- 6.20E-07,3.61E-07 +or- 1.40E-08
090122044e^a,04:46.5,94$_{-22}^{+51}$,04:46.5,32$_{-8}^{+10}$,0.8368,2.10E-06 +or- 4.65E-07,5.54E-08 +or- 5.28E-09
090122044f^a,05:04.8,34$_{-8}^{+15}$,05:04.8,16$_{-4}^{+6}$,0.6853,2.64E-06 +or- 5.03E-07,5.54E-08 +or- 5.76E-09
090122044 g^a,05:38.0,332$_{-48}^{+38}$,05:38.2,44$_{-8}^{+10}$,0.7919,1.46E-05 +or- 1.03E-06,5.87E-07 +or- 1.66E-08
090122044 h^a,06:33.4,94$_{-8}^{+31}$,06:33.4,30$_{-12}^{+6}$,0.4193,6.08E-06 +or- 7.23E-07,6.91E-08 +or- 4.32E-09
090122044i^a,07:08.8,138$_{-18}^{+39}$,07:08.9,42$_{-4}^{+6}$,0.5472,7.47E-06 +or- 7.91E-07,3.54E-07 +or- 1.15E-08
090122044j^a,07:36.4,42$_{-8}^{+6}$,07:36.4,22$_{-6}^{+6}$,0.8184,2.34E-06 +or- 4.87E-07,2.55E-08 +or- 3.64E-09
090122044k^a,08:21.1,122$_{-12}^{+26}$,08:21.2,36$_{-6}^{+4}$,0.4293,9.69E-06 +or- 8.27E-07,2.21E-07 +or- 8.32E-09
090122044 l^a,08:39.6,38$_{-8}^{+4}$,08:39.6,12$_{-2}^{+12}$,0.3154,5.06E-06 +or- 5.79E-07,6.16E-08 +or- 4.32E-09
"090122044 m^a^,^f",08:41.7,270$_{-4}^{+4}$,08:41.8,186$_{-4}^{+8}$,0.4539,5.85E-05 +or- 2.18E-06,2.13E-06 +or- 2.63E-08
090122044n^a,08:42.5,66$_{-14}^{+23}$,08:42.5,20$_{-10}^{+16}$,0.7295,3.72E-06 +or- 5.50E-07,6.84E-08 +or- 6.08E-09
090122052a^a,13:50.3,98$_{-16}^{+23}$,13:50.4,46$_{-14}^{+22}$,0.3067,5.08E-06 +or- 6.87E-07,1.48E-07 +or- 9.60E-09
090122052b,14:14.9,90$_{-6}^{+6}$,14:14.9,32$_{-2}^{+6}$,0.1546,1.48E-05 +or- 1.02E-06,5.59E-07 +or- 1.34E-08
090122052c^a,14:29.5,50$_{-4}^{+7}$,14:29.5,42$_{-4}^{+2}$,0.2105,3.95E-06 +or- 6.49E-07,7.54E-08 +or- 5.72E-09
090122052d^a,14:37.1,140$_{-58}^{+42}$,14:37.1,40$_{-18}^{+16}$,0.8915,2.10E-06 +or- 4.75E-07,4.93E-08 +or- 5.04E-09
"090122052e^a^,^f",14:46.0,118$_{-12}^{+12}$,14:46.0,32$_{-2}^{+2}$,0.1767,5.85E-05 +or- 2.14E-06,2.26E-06 +or- 2.55E-08
090122052f^a,14:55.4,360$_{-76}^{+93}$,14:55.5,156$_{-44}^{+34}$,0.7761,1.46E-06 +or- 4.20E-07,5.02E-08 +or- 5.32E-09
090122052 g^a,14:58.8,102$_{-16}^{+10}$,14:58.8,58$_{-14}^{+8}$,0.3436,1.91E-06 +or- 4.30E-07,5.38E-08 +or- 5.88E-09
090122052 h^a,15:09.3,80$_{-18}^{+20}$,15:09.3,24$_{-2}^{+2}$,0.4068,1.31E-05 +or- 9.77E-07,2.93E-07 +or- 9.60E-09
090122052i^a,15:19.9,636$_{-46}^{+34}$,15:20.2,154$_{-34}^{+234}$,0.707,3.74E-06 +or- 5.75E-07,2.08E-08 +or- 2.64E-09
090122052j^a,15:46.0,170$_{-48}^{+50}$,15:46.1,50$_{-20}^{+48}$,0.1745,9.79E-07 +or- 3.77E-07,3.20E-08 +or- 4.48E-09
090122052k^a,15:46.6,434$_{-8}^{+40}$,15:46.6,184$_{-20}^{+44}$,0.4211,7.14E-06 +or- 7.57E-07,6.22E-07 +or- 1.86E-08
090122052 l^a,16:06.5,268$_{-26}^{+118}$,16:06.6,124$_{-22}^{+22}$,0.0422,1.37E-06 +or- 4.05E-07,9.58E-08 +or- 8.40E-09
090122052 m^a,16:08.9,84$_{-12}^{+24}$,16:08.9,40$_{-8}^{+6}$,0.1802,2.59E-06 +or- 5.28E-07,1.22E-07 +or- 7.68E-09
090122052n^a,16:19.1,96$_{-16}^{+28}$,16:19.1,42$_{-4}^{+4}$,0.0798,9.66E-06 +or- 8.27E-07,2.32E-07 +or- 8.80E-09
090122052o^a,16:26.0,150$_{-10}^{+31}$,16:26.0,36$_{-4}^{+2}$,0.419,9.69E-06 +or- 8.78E-07,2.31E-07 +or- 9.52E-09
090122052p^a,16:26.6,326$_{-84}^{+108}$,16:26.8,36$_{-6}^{+12}$,0.8129,3.82E-06 +or- 5.57E-07,8.88E-08 +or- 6.00E-09
"090122052q^a^,^f",16:28.7,84$_{-8}^{+12}$,16:28.7,26$_{-4}^{+2}$,0.7347,2.67E-05 +or- 1.34E-06,8.12E-07 +or- 1.51E-08
090122052r^a,16:41.0,1068$_{-18}^{+42}$,16:41.1,374$_{-134}^{+214}$,0.6429,2.17E-06 +or- 4.90E-07,3.72E-08 +or- 4.40E-09
090122052 s^a,17:00.9,26$_{-8}^{+8}$,17:00.9,12$_{-6}^{+6}$,0.2693,1.95E-06 +or- 4.55E-07,2.95E-08 +or- 4.32E-09
090122052t^a,17:03.1,86$_{-34}^{+18}$,17:03.1,36$_{-14}^{+8}$,0.3484,9.62E-07 +or- 3.29E-07,3.10E-08 +or- 3.96E-09
090122052u^a,17:20.7,244$_{-26}^{+60}$,17:20.7,132$_{-10}^{+8}$,0.845,5.98E-06 +or- 6.28E-07,4.35E-07 +or- 1.36E-08
090122052v^a,17:24.7,222$_{-30}^{+68}$,17:24.8,64$_{-8}^{+6}$,0.8478,4.96E-06 +or- 6.10E-07,3.47E-07 +or- 1.25E-08
090122052w^a,17:28.0,34$_{-8}^{+13}$,17:28.0,14$_{-8}^{+6}$,0.3449,3.60E-06 +or- 5.08E-07,3.67E-08 +or- 4.20E-09
090122052x^a,17:52.2,36$_{-16}^{+22}$,17:52.2,12$_{-4}^{+4}$,0.0263,3.82E-06 +or- 5.68E- 07,5.00E-08 +or- 4.80E-09
090122052y^a,17:58.6,128$_{-34}^{+32}$,17:58.6,54$_{-18}^{+16}$,0.131,2.51E-06 +or- 4.82E-07,4.03E-08 +or- 4.32E-09
090122052z^a,18:02.3,78$_{-26}^{+12}$,18:02.3,34$_{-12}^{+18}$,0.8853,8.84E-07 +or- 3.37E-07,3.48E-08 +or- 4.80E-09
"090122052aa^a^,^f",18:10.3,84$_{-18}^{+18}$,18:10.3,14$_{-2}^{+2}$,0.7776,5.72E-05 +or- 2.02E-06,9.53E-07 +or- 1.68E-08
090122052ab^a,18:12.7,48$_{-10}^{+23}$,18:12.7,24$_{-6}^{+14}$,0.933,1.35E-06 +or- 3.76E-07,3.86E-08 +or- 5.04E-09
"090122052ac^a^,^b^,^f",18:42.4,140$_{-18}^{+10}$,18:42.4,62$_{-2}^{+4}$,,,
090122059a,25:04.2,586$_{-74}^{+132}$,25:04.3,264$_{-24}^{+44}$,0.583,2.23E-06 +or- 5.27E-07,3.35E-07 +or- 1.42E-08
"090122059b^a^,^f",25:18.6,214$_{-8}^{+12}$,25:18.8,32$_{-2}^{+4}$,0.5766,4.05E-05 +or- 1.77E-06,1.31E-06 +or- 2.02E-08
090122059c^a,27:10.6,334$_{-50}^{+56}$,27:10.6,156$_{-14}^{+10}$,0.538,1.56E-05 +or- 1.13E-06,4.53E-07 +or- 1.34E-08
090122059d^a,28:00.6,236$_{-68}^{+70}$,28:00.6,116$_{-18}^{+16}$,0.7211,2.84E-06 +or- 4.69E-07,3.24E-08 +or- 3.60E-09
"090122059e^a^,^b^,^f",29:00.0,146$_{-8}^{+8}$,29:00.0,38$_{-2}^{+2}$,,,
090122104a^f,30:09.4,112$_{-22}^{+20}$,30:09.4,42$_{-4}^{+2}$,0.2844,1.59E-05 +or- 1.10E-06,4.00E-07 +or- 1.20E-08
"090122104b^a^,^f",32:53.9,132$_{-40}^{+22}$,32:54.0,18$_{-2}^{+2}$,0.7134,5.97E-05 +or- 2.10E-06,9.98E-07 +or- 1.52E-08
090122104c^a,34:28.2,356$_{-6}^{+12}$,34:28.2,320$_{-16}^{+4}$,0.3701,1.74E-05 +or- 1.17E-06,6.27E-07 +or- 1.90E-08
090122104d^a,34:28.9,184$_{-18}^{+33}$,34:29.0,114$_{-10}^{+16}$,0.6144,2.10E-06 +or- 4.72E-07,1.11E-07 +or- 9.40E-09
090122104e^a,34:40.4,94$_{-20}^{+35}$,34:40.4,42$_{-8}^{+10}$,0.0743,4.00E-06 +or- 5.36E-07,2.87E-08 +or- 2.80E-09
090122113a,42:23.2,86$_{-32}^{+22}$,42:23.2,24$_{-4}^{+4}$,0.4295,1.66E-05 +or- 1.18E-06,1.69E-07 +or- 7.48E-09
090122113b^a,44:50.5,62$_{-10}^{+16}$,44:50.5,28$_{-6}^{+2}$,0.5258,9.53E-06 +or- 7.94E-07,1.93E-07 +or- 8.32E-09
090122113c^a,45:53.1,138$_{-2}^{+10}$,45:53.1,14$_{-2}^{+2}$,0.7511,2.88E-05 +or- 1.40E-06,3.07E-07 +or- 1.01E-08
090122120a,53:29.7,152$_{-20}^{+52}$,53:29.8,60$_{-10}^{+14}$,0.1761,8.89E-06 +or- 7.83E-07,2.94E-07 +or- 1.01E-08
090122120b^a,53:45.8,958$_{-54}^{+132}$,53:46.1,354$_{-26}^{+164}$,0.1485,1.37E-06 +or- 3.29E-07,8.64E-08 +or- 9.60E-09
"090122120c^a^,^b^, ^f",54:01.0,146$_{-2}^{+4}$,54:01.0,80$_{-2}^{+4}$,,,
090122120d^a,55:16.0,306$_{-38}^{+104}$,55:16.0,138$_{-28}^{+64}$,0.4149,1.82E-06 +or- 4.42E-07,7.81E- 08 +or- 8.68E-09
090122120e^a,56:52.7,268$_{-20}^{+13}$,56:52.7,210$_{-8}^{+8}$,0.0645,4.28E-06 +or- 5.86E-07,1.09E-07 +or- 7.80E-09
090122120f^a,56:53.7,258$_{-40}^{+44}$,56:53.8,106$_{-16}^{+32}$,0.6036,1.62E-06 +or- 4.95E-07,5.37E-08 +or- 7.04E-09
090122120 g^a,57:04.7,96$_{-18}^{+55}$,57:04.7,40$_{-6}^{+26}$,0.8874,1.57E-06 +or- 4.43E-07,2.74E-08 +or- 1.27E-08
090122120 h^a,57:18.4,58$_{-16}^{+27}$,57:18.4,24$_{-4}^{+4}$,0.4886,3.15E-06 +or- 5.96E-07,6.23E-08 +or- 6.46E-09
090122173a,08:31.6,224$_{-48}^{+54}$,08:31.6,68$_{-12}^{+18}$,0.8906,7.43E-06 +or- 7.88E-07,1.76E-07 +or- 8.80E-09
"090122173b^a^,^f",09:08.7,542$_{-16}^{+136}$,09:09.0,74$_{-8}^{+6}$,0.9511,1.77E-05 +or- 1.12E-06,1.07E-06 +or- 2.17E-08
090122173c^a,10:50.9,56$_{-6}^{+5}$,10:50.9,32$_{-6}^{+8}$,0.1015,4.52E-06 +or- 6.55E-07,1.30E-07 +or- 8.32E-09
